satisfaction_key|energy_key|emotion|description|emoji|color|agrado|energia
1|1|"Desesperado"|"Descrição para desesperado."|🙁|#3c26f1|"Baixo agrado"|"Baixa energia"
1|2|"Melancólico"|"Descrição para Melancólico."|🙁|#3c26f1|"Baixo agrado"|"Baixa energia"
1|3|"Alienado"|"Descrição para Alienado."|🙁|#3c26f1|"Baixo agrado"|"Baixa energia"
1|4|"Pessimista"|"Descrição para Pessimista."|🙁|#3c26f1|"Baixo agrado"|"Baixa energia"
1|5|"Enojado"|"Descrição para Enojado."|🙁|#3c26f1|"Baixo agrado"|"Baixa energia"
2|1|"Desesperançoso"|"Descrição para Desesperançoso."|😔|#3c26f1|"Baixo agrado"|"Baixa energia"
2|2|"Deprimido"|"Descrição para Deprimido."|😔|#3c26f1|"Baixo agrado"|"Baixa energia"
2|3|"Miserável"|"Descrição para Miserável."|😔|#3c26f1|"Baixo agrado"|"Baixa energia"
2|4|"Lerdo"|"Descrição para Lerdo."|😔|#3c26f1|"Baixo agrado"|"Baixa energia"
2|5|"Taciturno"|"Descrição para Taciturno."|😔|#3c26f1|"Baixo agrado"|"Baixa energia"
3|1|"Desolado"|"Descrição para Desolado."|🙁|#3c26f1|"Baixo agrado"|"Baixa energia"
3|2|"Mal-humorado"|"Descrição para Mal-humorado."|🙁|#3c26f1|"Baixo agrado"|"Baixa energia"
3|3|"Solitário"|"Descrição para Solitário."|🙁|#3c26f1|"Baixo agrado"|"Baixa energia"
3|4|"Sem ânimo"|"Descrição para Sem ânimo."|🙁|#3c26f1|"Baixo agrado"|"Baixa energia"
3|5|"Desapontado"|"Descrição para Desapontado."|🙁|#3c26f1|"Baixo agrado"|"Baixa energia"
4|1|"Extenuado"|"Descrição para Extenuado."|😔|#3c26f1|"Baixo agrado"|"Baixa energia"
4|2|"Exausto"|"Descrição para Exausto."|😔|#3c26f1|"Baixo agrado"|"Baixa energia"
4|3|"Desanimado"|"Descrição para Desanimado."|😔|#3c26f1|"Baixo agrado"|"Baixa energia"
4|4|"Triste"|"Descrição para Triste."|😔|#3c26f1|"Baixo agrado"|"Baixa energia"
4|5|"Para baixo"|"Descrição para Para baixo."|😔|#3c26f1|"Baixo agrado"|"Baixa energia"
5|1|"Esgotado"|"Descrição para Esgotado."|🙁|#3c26f1|"Baixo agrado"|"Baixa energia"
